file,entropy,true,pred,category
mask_true_Normal_pred_Viral Pneumonia_3.npy,9.37982,Normal,Viral Pneumonia,Misclassified
mask_true_Normal_pred_Viral Pneumonia_4.npy,9.421392,Normal,Viral Pneumonia,Misclassified
mask_true_Normal_pred_Viral Pneumonia_7.npy,9.434504,Normal,Viral Pneumonia,Misclassified
mask_true_Viral Pneumonia_pred_Viral Pneumonia_10.npy,9.441032,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_11.npy,9.428545,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_12.npy,9.451597,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_13.npy,9.543028,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_14.npy,9.258709,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_15.npy,9.564897,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_2.npy,9.426844,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_3.npy,9.521599,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_4.npy,9.441225,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_5.npy,9.407219,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_6.npy,9.57091,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_7.npy,9.528262,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_8.npy,9.546433,Viral Pneumonia,Viral Pneumonia,Correct
mask_true_Viral Pneumonia_pred_Viral Pneumonia_9.npy,9.504292,Viral Pneumonia,Viral Pneumonia,Correct
